Company,Valuation ($B) ,Country,Category,Select Investors
Clover Health,$1.20 ,United States,Health,"Google Ventures, Sequoia Capital, First Round Capital"
Warby Parker,$1.20 ,United States,E-commerce & direct-to-consumer,"BoxGroup, Felicis Ventures, First Round Capital"
OfferUp,$1.20 ,United States,Mobile & telecommunications,"Andreessen Horowitz, GGV Capital, T. Rowe Price"
Yiguo (易果生鲜),$1.20 ,China,"Supply chain, logistics, & delivery","Alibaba Group, KKR, Goldman Sachs"
Glossier,$1.20 ,United States,Consumer & retail,"Forerunner Ventures, Institutional Venture Partners, Thrive Capital"
Zipline International,$1.20 ,United States,"Supply chain, logistics, & delivery","Sequoia Capital, Baillie Gifford & Co., Google Ventures"
SmartNews,$1.20 ,Japan,Mobile & telecommunications,"Japan Post Capital, Globis Capital Partners, Atomico"
Fair,$1.20 ,United States,Auto & transportation,"CreditEase Fintech Investment Fund, BMW i Ventures, SoftBank Group"
Rapyd,$1.20 ,United Kingdom,Fintech,"Target Global, General Catalyst, Durable Capital Partners"
Figure Technologies,$1.20 ,United States,Fintech,"DCM Ventures, Ribbit Capital, RPM Ventures"
FirstCry,$1.20 ,India,E-commerce & direct-to-consumer,"SoftBank Group, SAIF Partners India, Valiant Capital Partners"
VAST Data,$1.20 ,United States,Data management & analytics,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital"
Workhuman,$1.20 ,Ireland,Internet software & services,ICG
FiveTran,$1.20 ,United States,Data management & analytics,"Matrix Partners, Andreessen Horowitz, General Catalyst"
Qumulo,$1.20 ,United States,Data management & analytics,"Madrona Venture Group, Kleiner Perkins Caufield & Byers, Highland Capital Partners"
HeartFlow,$1.50 ,United States,Health,"BlueCross BlueShield Venture Partners, US Venture Partners"
Luoji Siwei,$1.17 ,China,Edtech,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings"
Yimidida,$1.17 ,China,"Supply chain, logistics, & delivery","Source Code Capital, Global Logistic Properties, K2VC"
Lyell Immunopharma,$1.16 ,United States,Health,"ARCH Venture Partners, Foresite Capital, Altitude Life Science Ventures"
Deezer,$1.40 ,France,Internet software & services,"Orange Digital Ventures, Access Industries"
LIfeMiles,$1.15 ,Colombia,Other,Advent International
BrewDog,$1.15 ,United Kingdom,Consumer & retail,"TSG Consumer Partners, Crowdcube"
DigitalOcean,$1.15 ,United States,Internet software & services,"Andreessen Horowitz, Access Industries, IA Ventures"
Doctolib,$1.14 ,France,Health,"BPI France, Kerala Ventures, Accel"
Deposit Solutions,$1.12 ,Germany,Fintech,"e.ventures, Greycroft, FinLab"
TELD,$1.12 ,China,Fintech,"China Reform Fund, Gaopeng Capital, Jinhui Xingye"
Actifio,$1.10 ,United States,Data management & analytics,"Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures"
TangoMe,$1.10 ,United States,Mobile & telecommunications,"Draper Fisher Jurtson, Qualcomm Ventures, Alibaba Group"
Just,$1.10 ,United States,Consumer & retail,"Khosla Ventures, Horizons Ventures, Founders Fund"
Tuhu,$1.16 ,China,Auto & transportation,"Qiming Venture Partners, Yaxia Automobile, Far East Horizon"
OVH,$1.10 ,France,Other,"KKR, TowerBrook Capital Partners"
Tradeshift,$1.10 ,United States,Fintech,"Notion Capital, Scentan Ventures, Kite Ventures"
Yijiupi (易久批),$1.10 ,China,Consumer & retail,"Source Code Capital, Meituan Dianping, Tencent Holdings"
Outreach,$1.33 ,United States,Artificial intelligence,"Mayfield Fund, M12, Trinity Ventures"
Ivalua,$1.10 ,United States,Fintech,"Ardian, Tiger Global Management, KKR"
Sonder,$1.30 ,United States,Travel,"Structure Capital, Spark Capital, Greylock Partners"
Vinted,$1.10 ,Lithuania,E-commerce & direct-to-consumer,"Accel, Insight Partners, Burda Principal Investments"
Coveo,$1.10 ,Canada,Artificial intelligence,"Fonds de Solidarite FTQ, Propulsion Ventures, BDC Venture Capital"
Course Hero,$1.10 ,United States,Edtech,"NewView Capital, Maveron, Ridge Ventures"
SentinelOne,$1.10 ,United States,Cybersecurity,"Granite Hill Capital Partners, Data Collective, Tiger Global Management"
Linklogis,$1.05 ,China,Fintech,"Bertelsmann Asia Investments, Loyal Valley Capital, Tencent Holdings"
Instabase,$1.05 ,United States,Data management & analytics,"New Enterprise Associates, Greylock Partners, Andreessen Horowitz"
Aprogen,$1.04 ,South Korea,Health,"Lindeman Asia Investment, Nichi-Iko Pharmaceutical"
Miaoshou Doctor,$1.02 ,China,E-commerce & direct-to-consumer,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings"
TuSimple,$1.00 ,United States,Artificial intelligence,"Sina Weibo Fund, Zhiping Capital, Composite Capital Partners"
Radius Payment Solutions,$1.07 ,United Kingdom,Fintech,Inflexion Private Equity
Formlabs,$1.06 ,United States,Hardware,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group"
Jiuxian,$1.05 ,China,E-commerce & direct-to-consumer,"Sequoia Capital China, Rich Land Capital, Merrysunny Wealth"
AppDirect,$1.04 ,United States,E-commerce & direct-to-consumer,"Mithril, iNovia Capital, Foundry Group"
Kendra Scott,$1.00 ,United States,Consumer & retail,"Berkshire Partners, Norwest Venture Partners"
Avaloq Group,$1.01 ,Switzerland,Fintech,Warbug Pincus
Leap Motor,$1.01 ,China,Auto & transportation,"Sequoia Capital China, Gopher Asset Management, Shanghai Electric Group"
Dianrong,$1.00 ,China,E-commerce & direct-to-consumer,"Standard Chartered, FinSight Ventures, Affirma Capital"
DotC United Group,$1.00 ,China,Mobile & telecommunications,"Chengwei Capital, Lightspeed China Partners, Morningside Venture Capital"
Katerra,$1.00 ,United States,"Supply chain, logistics, & delivery","Foxconn Technology Company, Khosla Ventures, Moore Capital Management"
Womai,$1.00 ,China,E-commerce & direct-to-consumer,"SAIF Partners China, Baidu, IDG Capital"
Lookout,$1.00 ,United States,Cybersecurity,"Accel Partners, Greylock Partners, Lowercase Capital"
TechStyle Fashion Group,$1.00 ,United States,E-commerce & direct-to-consumer,"Matrix Partners, Passport Capital, Rho Ventures"
Proteus Digital Health,$1.50 ,United States,Health,"Novartis, Essex Woodlands, The Carlyle Group"
Desktop Metal,$1.50 ,United States,Hardware,"Australian Future Fund, GE Ventures, Data Collective"
Lenskart,$1.50 ,India,E-commerce & direct-to-consumer,"Chiratae Ventures, PremjiInvest, Softbank"
Illumio,$1.00 ,United States,Cybersecurity,"Data Collective, Formation 8, General Catalyst Partners"
BeiBei,$1.00 ,China,E-commerce & direct-to-consumer,"Banyan Capital, New Horizon Capital, IDG Capital Partners"
InMobi,$1.00 ,India,Mobile & telecommunications,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures"
MarkLogic,$1.00 ,United States,Data management & analytics,"Sequoia Capital, Tenaya Capital, Northgate Capital"
Zhaogang,$1.00 ,China,E-commerce & direct-to-consumer,"K2 Ventures, Matrix Partners China, IDG Capital"
Vox Media,$1.00 ,United States,Internet software & services,"Accel Partners, Comcast Ventures, General Atlantic"
Kabbage,$1.00 ,United States,Fintech,"BlueRun Ventures, SV Angel, Mohr Davidow Ventures"
FXiaoKe,$1.00 ,China,Mobile & telecommunications,"IDG Capital, Northern Light Venture Capital, DCM Ventures"
iTutorGroup,$1.00 ,China,Edtech,"QiMing Venture Partners, Temasek Holdings, Silverlink Capital"
Cell C,$1.00 ,South Africa,Mobile & telecommunications,"Blue Label Telecoms, Net1 UEPS Technologies"
MindMaze,$1.00 ,Switzerland,Health,Hinduja Group
Mia.com,$1.00 ,China,E-commerce & direct-to-consumer,"Sequoia Capital China, ZhenFund, K2 Ventures"
iCarbonX,$1.00 ,China,Artificial intelligence,"Tencent, Vcanbio"
Age of Learning,$1.00 ,United States,Edtech,Iconiq Capital
SMS Assist,$1.00 ,United States,Internet software & services,"Goldman Sachs, Insights Venture Partners, Pritzker Group Venture Capital"
Mofang Living,$1.00 ,China,E-commerce & direct-to-consumer,"Warburg Pincus, Aviation Industry Corporation of China"
HuJiang,$1.00 ,China,Edtech,"China Minsheng Investment, Baidu, Wanxin Media"
Rubicon Global,$1.00 ,United States,Other,"Goldman Sachs, Leonardo DiCaprio, Promecap"
YH Global,$1.00 ,China,"Supply chain, logistics, & delivery","Co-Energy Finance, Grandland"
Rocket Lab,$1.00 ,United States,Other,"Lockheed Martin, Khosla Ventures, Bessemer Venture Partners"
Zhuan Zhuan,$1.00 ,China,E-commerce & direct-to-consumer,"58.com, Tencent Holdings"
Supreme,$1.00 ,United States,Consumer & retail,The Carlyle Group
XiaoZhu,$1.00 ,China,Travel,"Morningside Ventures, Capital Today, JOY Capital"
WeLab,$1.00 ,Hong Kong,Fintech,"Sequoia Capital China, ING, Alibaba Entrepreneurs Fund"
Payoneer,$1.00 ,United States,Fintech,"Susquehanna Growth Equity, 83North, China Broadband Capital"
100credit,$1.00 ,China,Fintech,"Sequoia Capital China, China Reform Fund, Hillhouse Capital Management"
Rani Therapeutics,$1.00 ,United States,Health,"Google Ventures, VentureHealth, InCube Ventures"
OrCam Technologies,$1.00 ,Israel,Artificial intelligence,"Intel Capital, Aviv Venture Capital"
Lalamove,$1.00 ,Hong Kong,"Supply chain, logistics, & delivery","MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital"
17zuoye,$1.00 ,China,Edtech,"DST Global, Temasek Holdings"
Dxy.cn,$1.00 ,China,Health,"Tencent Holdings, DCM Ventures"
Soundhound,$1.00 ,United States,Artificial intelligence,"Tencent Holdings, Walden Venture Capital, Global Catalyst Partnera"
Huike Group,$1.00 ,China,Edtech,"Fosun RZ Capital, Oceanwide Holdings, Shenzhen Qianhe Capital Management Co."
JOLLY Information Technology,$1.00 ,China,E-commerce & direct-to-consumer,"Legend Capital, CDH Investments, Sequoia Capital China"
OutSystems,$1.00 ,Portugal,Internet software & services,"KKR, ES Ventures, North Bridge Growth Equity"
MediaMath,$1.00 ,United States,Internet software & services,"Silicon Valley Bank, QED Investors, European Founders Fund"
About You,$1.00 ,Germany,E-commerce & direct-to-consumer,"German Media Pool, Seven Venture Capital"
Revolution Precrafted,$1.00 ,Philippines,Other,"K2 Global, 500 Startups"
Klook,$1.00 ,Hong Kong,Travel,"Sequoia Capital China, Goldman Sachs, Matrix Partners China"
Shansong Express (FlashEx),$1.00 ,China,"Supply chain, logistics, & delivery","Prometheus Capital, Matrix Partners China, JD Capital Management"
Rappi,$1.00 ,Colombia,"Supply chain, logistics, & delivery","DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures"
Aijia Life,$1.00 ,China,Other,"Tiantu Capital, Fortune Capital, Zhenghedao Fund"
Nxin (农信互联),$1.00 ,China,Internet software & services,"Beijing Juneng Hesheng Industry Investment Fund, Beijing Shuju Xinrong Fund"
WalkMe,$1.00 ,United States,Internet software & services,"Gemini Israel Ventures, Insight Venture Partners, Giza Venture Capital"
ZipRecruiter,$1.00 ,United States,Artificial intelligence,"Basepoint Ventures,Industry Ventures, and Institutional Venture Partners"
Medlinker,$1.00 ,China,Health,"China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China"
Momenta,$1.00 ,China,Artificial intelligence,"Sinovation Ventures, Tencent Holdings, Sequoia Capital China"
Bitfury,$1.00 ,Netherlands,Hardware,"Georgian Co-Investment Fund, iTech Capital, Galaxy Digital"
Airtable,$1.10 ,United States,Internet software & services,"Caffeinated Capital, CRV, Founder Collective"
LinkDoc Technology,$1.00 ,China,Health,"China Investment Corporation, New Enterprise Associates"
Banma Network Technologies,$1.00 ,China,Auto & transportation,"Yunfeng Capital, SDIC Innovation Investment Management, Shang Qi Capital"
TalkDesk,$1.00 ,United States,Internet software & services,"DJF, Salesforce Ventures, Storm Ventures"
Geek+,$1.00 ,China,Hardware,"Volcanics Ventures, Vertex Ventures China, Warburg Pincus"
Pat McGrath Labs,$1.00 ,United States,Consumer & retail,"One Luxury Group, Eurazeo"
Seismic,$1.00 ,United States,Internet software & services,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners"
iFood,$1.00 ,Brazil,"Supply chain, logistics, & delivery","Movile, Just Eat, Naspers"
Omio,$1.00 ,Germany,Travel,"Lakestar, Battery Ventures, New Enterprise Associates"
Zhangmen,$1.00 ,China,Edtech,"Shunwei Capital Partners, QingSong Fund, Warburg Pincus"
Calm,$1.00 ,United States,Consumer & retail,"Insight Venture Partners, TPG Growth, Sound Ventures"
58 Daojia,$1.00 ,China,Internet software & services,"KKR, Alibaba Group, Ping An Insurance"
LinkSure Network,$1.00 ,China,Mobile & telecommunications,N/A
China Cloud,$1.00 ,China,Hardware,"V Star Capital, GF Xinde Investment Management Co., Haitong Leading Capital Management"
Hosjoy,$1.00 ,China,E-commerce & direct-to-consumer,"U.S.-China Green Fund, Founder H Fund, Richland Equities"
Unisound,$1.19 ,China,Artificial intelligence,"Qiming Venture Partners, China Internet Investment Fund, Qualcomm Ventures"
Tresata,$1.00 ,United States,Fintech,GCP Capital Partners
Globality,$1.00 ,United States,Artificial intelligence,SoftBank Group
Rent the Runway,$1.00 ,United States,E-commerce & direct-to-consumer,"Bain Capital Ventures, Kleiner Perkins Caufield & Byers, Highland Capital Partners"
Intellifusion,$1.00 ,China,Artificial intelligence,"BOC International, TopoScend Capital, Hongxiu VC"
Hims,$1.10 ,United States,Health,"Forerunner Ventures, Thrive Capital, Redpoint Ventures"
Liquid,$1.00 ,Japan,Fintech,"JAFCO Co, Bitmain Technologies, IDG Capital"
Red Ventures,$1.00 ,United States,Other,"Silver Lake Partners, General Atlantic"
Terminus Technologies,$1.00 ,China,Hardware,"China Everbright Limited, IDG Capital, iFLYTEK"
Sila Nanotechnologies,$1.00 ,United States,Other,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners"
Dream11,$1.00 ,India,Internet software & services,"Kaalari Capital, Tencent Holdings, Steadview Capital"
Coursera,$1.00 ,United States,Edtech,"New Enterprise Associates, Kleiner Perkins Caufield & Byers, GSV Capital, Learn Capital"
Poizon,$1.00 ,China,Mobile & telecommunications,"DST Global, Sequoia Capital China, Gaorong Capital"
BigBasket,$1.00 ,India,"Supply chain, logistics, & delivery","Alibaba Group, Bessemer Venture Partners, Helion Venture Partners"
VTS,$1.00 ,United States,Internet software & services,"Trinity Ventures, Fifth Wall Ventures, OpenView Venture Partners"
Sumo Logic,$1.00 ,United States,Data management & analytics,"Greylock Partners, Sutter Hill Ventures, Accel"
GetYourGuide,$1.00 ,Germany,Travel,"Spark Capital, Highland Europe, Sunstone Capital"
OCSiAl,$1.00 ,Luxembourg,Other,"A&NN, Rusnano"
KnowBox,$1.00 ,China,Edtech,"TAL Education Group, Legend Star, Alibaba Group"
Loggi,$1.00 ,Brazil,"Supply chain, logistics, & delivery","Qualcomm Ventures, SoftBank Group. Monashees+"
Yanolja,$1.00 ,South Korea,Travel,"SBI Investment Korea, Partners Investment, GIC"
KnowBe4,$1.00 ,United States,Cybersecurity,"Elephant Venture Capital, KKR, Ten Eleven Ventures"
Meero,$1.00 ,France,Artificial intelligence,"Aglae Ventures, Global Founders Capital, Alven Capital"
Druva,$1.00 ,United States,Data management & analytics,"Nexus Venture Partners, Tenaya Capital, Sequoia Capital"
StockX,$1.00 ,United States,E-commerce & direct-to-consumer,"Google Ventures, Battery Ventures, DST Global"
Branch,$1.00 ,United States,Mobile & telecommunications,"New Enterprise Associates, Pear, Cowboy Ventures"
Ola Electric Mobility,$1.00 ,India,Auto & transportation,"SoftBank Group, Tiger Global Management, Matrix Partners India"
Rivigo,$1.07 ,India,"Supply chain, logistics, & delivery","SAIF Partners India, Warburg Pincus, Trifecta Capital Advisors"
Icertis,$1.00 ,United States,Artificial intelligence,"Eight Roads Ventures, Greycroft, Ignition Partners"
Turo,$1.00 ,United States,E-commerce & direct-to-consumer,"August Capital, Google Ventures, Shasta Ventures"
Hippo,$1.00 ,United States,Fintech,"Propel Venture Partners, Horizons Ventures, Comcast Ventures"
Gympass,$1.00 ,United States,Internet software & services,"General Atlantic, SoftBank Group, Atomico"
DataRobot,$1.00 ,United States,Artificial intelligence,"New Enterprise Associates, Accomplice, IA Ventures"
Lightricks,$1.00 ,Israel,Artificial intelligence,"Viola Ventures, Insight Partners, ClalTech, Goldman Sachs"
Scale AI,$1.00 ,United States,Artificial intelligence,"Accel, Y Combinator, Index Ventures"
Ibotta,$1.00 ,United States,Fintech,"Koch Disruptive Technologies, Teamworthy Ventures, GGV Capital"
C2FO,$1.00 ,United States,Fintech,"Union Square Ventures, Summerhill Venture Partners, Mithril Capital Management"
Numbrs,$1.00 ,Switzerland,Fintech,"Investment Corporation of Dubai, Centralway"
InVision,$1.00 ,United States,Internet software & services,"FirstMark Capital, Tiger Global Management, ICONIQ Capital"
ThoughtSpot,$1.00 ,United States,Internet software & services,"Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital"
Knotel,$1.00 ,United States,Other,"Bloomberg Beta, Newmark Knight Frank, Norwest Venture Partners"
Grove Collaborative,$1.00 ,United States,E-commerce & direct-to-consumer,"MHS Capital, NextView Ventures, Mayfield Fund"
QuintoAndar,$1.00 ,Brazil,E-commerce & direct-to-consumer,"Kaszek Ventures, General Atlantic, SoftBank Group"
CMR Surgical,$1.00 ,United Kingdom,Health,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital"
Acronis,$1.00 ,Switzerland,Cybersecurity,"Goldman Sachs, VebVentures, Insight Partners"
Dave,$1.00 ,United States,Fintech,"Section 32, SV Angel, Norwest Venture Partners"
Next Insurance,$1.00 ,United States,Fintech,"Zeev Ventures, Ribbit Capital, TLV Partners"
Grammarly,$1.00 ,United States,Internet software & services,"General Catalyst, Institutional Venture Partners, Breyer Capital"
EBANX,$1.00 ,Brazil,Fintech,"FTV Capital, Endeavor"
Pendo,$1.00 ,United States,Internet software & services,"Contour Venture Partners, Battery Ventures, Core Capital Partners"
KK Group,$1.00 ,China,E-commerce & direct-to-consumer,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group"
Kujiale,$1.00 ,China,Internet software & services,"GGV Capital, IDG Capital, Linear Venture"
Vacasa,$1.00 ,United States,Travel,"Level Equity, NewSpring Holdings, Riverwood Capital"
Faire,$1.00 ,United States,Artificial intelligence,"Khosla Ventures, Forerunner Ventures, Sequoia Capital"
Riskified,$1.00 ,United States,Cybersecurity,"Entree Capital, Genesis Partners, Qumra Capital"
Guild Education,$1.00 ,United States,Internet software & services,"Redpoint Ventures, Harrison Metal, Bessemer Venture Partners"
Wacai,$1.00 ,China,Mobile & telecommunications,"Qiming Venture Partners, China Broadband Capital, CDH Investments"
Bright Health,$1.00 ,United States,Health,"New Enterprise Associates, Bessemer Venture Partners, Flare Capital Partners"
Glovo,$1.00 ,Spain,"Supply chain, logistics, & delivery","IDInvest Partners, Seaya Ventures, Lakestar"
Loft,$1.00 ,Brazil,E-commerce & direct-to-consumer,"Monashees+, Andreessen Horowitz, QED Investors"
HighRadius,$1.00 ,United States,Fintech,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital"
ClassPass,$1.00 ,United States,Internet software & services,"General Catalyst, L Catterton, Acequia Capital"
Sisense,$1.00 ,United States,Data management & analytics,"Opus Capital, Genesis Partners, Battery Ventures"
Snyk,$1.00 ,United Kingdom,Cybersecurity,"BOLDstart Ventures, Google Ventures, Accel"
AppsFlyer,$1.60 ,United States,Mobile & telecommunications,"Magma Venture Partners, Pitango Venture Capital, Qumra Capital"
Maimai,$1.00 ,China,Mobile & telecommunications,"Morningside Venture Capital, IDG Capital, DCM Ventures"
Orbbec Technology,$1.00 ,China,Hardware,"R-Z Capital, Green Pine Capital Partners, SAIF Partners China"
Alto Pharmacy,$1.00 ,United States,Health,"Jackson Square Ventures, Greenoaks Capital Management, Softbank Group"
Flywire,$1.00 ,United States,Fintech,"Spark Capital, F-Prime Capital, Kibo Ventures"
Headspin,$1.16 ,United States,Mobile & telecommunications,"ICONIQ Capital, Dell Technologies Capital, Tiger Global Management"
o9 Solutions,$1.00 ,United States,Artificial intelligence,KKR
Emerging Markets Property Group,$1.00 ,United Arab Emirates,Other,"OLX Group, KCK Group, EXOR Seeds"
Quizlet,$1.00 ,United States,Edtech,"Union Square Ventures, Altos Ventures, Costanoa Ventures"
Keep,$1.00 ,China,Mobile & telecommunications,"Bertelsmann Asia Investments, GGV Capital, Morningside Venture Capital"
Amplitude,$1.00 ,United States,Data management & analytics,"Benchmark, Battery Ventures, Institutional Venture Partners"
Apeel Sciences,$1.00 ,United States,Other,"Upfront Ventures, Tao Capital Partners, Andreessen Horowitz"
Lilium Aviation,$1.00 ,Germany,Other,"Freigeist Capital, Obvious Ventures, Atomico"
Orca Bio,$1.00 ,United States,Health,"Lightspeed Venture Partners, Data Collective, 8VC"
Upgrade,$1.00 ,United States,Fintech,"Union Square Ventures, Ribbit Capital, VY Capital"
Cazoo,$1.00 ,United Kingdom,E-commerce & direct-to-consumer,"dmg ventures, General Catalyst, Octopus Ventures"
KKW Beauty,$1.00 ,United States,E-commerce & direct-to-consumer,Coty
Thrasio,$1.00 ,United States,Other,"Upper90, RiverPark Ventures, Advent International"
