Company,Valuation ($B) ,Country,Category,Select Investors
Tempus,$5.00 ,United States,Health,"New Enterprise Associates, T. Rowe Associates, Lightbank"
Procore,$5.00 ,United States,Internet software & services,"Bessemer Venture Partners, O'Connor Ventures, Iconiq Capital"
TransferWise,$5.00 ,United Kingdom,Fintech,"IA Ventures, Index, Ventures, SV Angel"
Toast,$4.90 ,United States,Fintech,"Bessemer Venture Partners, Tiger Global Management, Google Ventures"
Meizu Technology,$4.58 ,China,Hardware,"Telling Telecommunication Holding Co., Alibaba Group"
Fanatics,$4.50 ,United States,E-commerce & direct-to-consumer,"SoftBank Group, Andreessen Horowitz, Temasek Holdings"
SoFi,$4.80 ,United States,Fintech,"Baseline Ventures, DCM Ventures, Institutional Venture Partners"
Vipkid,$4.50 ,China,Edtech,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures"
Confluent,$4.50 ,United States,Data management & analytics,"Benchmark, Sequoia Capital, Index Ventures"
Marqeta,$4.30 ,United States,Fintech,"83North, Granite Ventures, CommerzVentures"
Ginkgo BioWorks,$4.20 ,United States,Health,"Y Combinator, Data Collective, MassVentures"
Lixiang Automotive,$4.05 ,China,Auto & transportation,"Future Capital Discovery Fund, Shougang Fund, BlueRun Ventures"
Yello Mobile,$4.00 ,South Korea,Mobile & telecommunications,Formation 8
Houzz,$4.00 ,United States,E-commerce & direct-to-consumer,"New Enterprise Associates, Sequoia Capital, Comcast Ventures"
Face++ (Megvii),$4.00 ,China,Artificial intelligence,"Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company"
Roblox,$4.00 ,United States,Internet software & services,"Atlos Ventures, Index Ventures, First Round Capital"
Impossible Foods,$4.00 ,United States,Consumer & retail,"Khosla Ventures, Horizons Ventures, Temasek Holdings"
TripActions,$4.00 ,United States,Travel,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures"
XPeng Motors,$4.00 ,China,Auto & transportation,"Morningside Venture Capital, Foxconn Technology Company, Alibaba Group"
OpenDoor Labs,$3.80 ,United States,E-commerce & direct-to-consumer,"Norwest Venture Partners, New Enterprise Associates, Khosla Ventures"
Gusto,$3.80 ,United States,Fintech,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers"
Intarcia Therapeutics,$3.80 ,United States,Health,"New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital"
Auto1 Group,$3.54 ,Germany,E-commerce & direct-to-consumer,"Digital Sky Technologies, Piton Capital, DN Capital, SoftBank Group"
Otto Bock HealthCare,$3.50 ,Germany,Health,EQT Partners
Arrival,$3.91 ,United Kingdom,Auto & transportation,"Kia Motors Company, Hyundai Motor Company"
Indigo Agriculture,$3.50 ,United States,Artificial intelligence,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co."
Greensill,$3.50 ,United Kingdom,Fintech,"SoftBank Group, General Atlantic"
N26,$3.50 ,Germany,Fintech,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures"
Root Insurance,$3.65 ,United States,Fintech,"Tiger Global Management, Ribbit Capital, Redpoint Ventures"
Rivian,$3.50 ,United States,Auto & transportation,"Amazon, Ford Motor Company, Cox Automotive"
Freshworks,$3.50 ,United States,Internet software & services,"Accel, Tiger Global Management, capitalG"
HyalRoute,$3.50 ,Singapore,Mobile & telecommunications,Kuang-Chi
Youxia Motors,$3.35 ,China,Auto & transportation,"China Environmental Protection Industry, China Fortune Ocean"
Discord,$3.50 ,United States,Internet software & services,"Benchmark, Greylock Partners, Tencent Holdings"
Cloudwalk,$3.32 ,China,Artificial intelligence,"Oriza Holdings, Guangdong Technology Financial Group"
Rubrik,$3.30 ,United States,Data management & analytics,"Greylock Partners, Lightspeed Venture Partners, Khosla Ventures"
Swiggy,$3.60 ,India,"Supply chain, logistics, & delivery","Accel India, SAIF Partners, Norwest Venture Partners"
The Hut Group,$3.25 ,United Kingdom,E-commerce & direct-to-consumer,"KKR, Old Mutual Global Investors, Artemis Investment Management"
GRAIL,$3.20 ,United States,Health,"Kleiner Perkins Caufield & Byers, Amazon, Merck & Co."
Oscar Health,$3.20 ,United States,Health,"BoxGroup, Formation8, Khosla Ventures"
Flexport,$3.20 ,United States,"Supply chain, logistics, & delivery","Bloomberg Beta, Founders Fund, First Round Capital"
Automattic,$3.00 ,United States,Internet software & services,"Insight Venture Partners, Lowercase Capital, Polaris Partners"
VANCL,$3.00 ,China,E-commerce & direct-to-consumer,"Ceyuan Ventures, QiMing Venture Partners, Temasek Holdings"
BGL Group,$3.00 ,United Kingdom,Fintech,CPP Investment Board
Circle Internet Financial,$3.00 ,United States,Fintech,"General Catalyst, Digital Currency Group, Accel"
Zuoyebang,$3.00 ,China,Edtech,"Sequoia Capital China, Xiang He Capital, GGV Capital"
Xiaohongshu,$3.00 ,China,E-commerce & direct-to-consumer,"GGV Capital, ZhenFund, Tencent"
SouChe Holdings,$3.00 ,China,E-commerce & direct-to-consumer,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund"
Niantic,$4.00 ,United States,Mobile & telecommunications,"Nintendo, Google, Pokemon Company International, Spark Capital"
Horizon Robotics,$3.00 ,China,Artificial intelligence,"Hillhouse Capital Management, Linear Venture, Morningside Venture Capital"
Netskope,$3.00 ,United States,Cybersecurity,"Lightspeed Venture Partners, Social Capital, Accel"
Pony.ai,$3.00 ,United States,Artificial intelligence,"Sequoia Capital China, IDG Capital, DCM Ventures"
Affirm,$2.90 ,United States,Fintech,"Andreessen Horowitz, Khosla Ventures, Singapore Wealth Fund"
OVO,$2.90 ,Indonesia,Fintech,"Grab, Tokopedia, Tokyo Century Corporation"
Yixia,$2.90 ,China,Mobile & telecommunications,"Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures"
Kuayue Express,$2.88 ,China,"Supply chain, logistics, & delivery","Sequoia Capital China, Eastern Bell Capital"
